date,date_key,year,month_number,month_start,month_label,is_partial_period,observed_date_count_in_month
2022-03-31,20220331,2022,3,2022-03-01,Mar 2022,True,1
2022-04-01,20220401,2022,4,2022-04-01,Apr 2022,False,30
2022-04-02,20220402,2022,4,2022-04-01,Apr 2022,False,30
2022-04-03,20220403,2022,4,2022-04-01,Apr 2022,False,30
2022-04-04,20220404,2022,4,2022-04-01,Apr 2022,False,30
2022-04-05,20220405,2022,4,2022-04-01,Apr 2022,False,30
2022-04-06,20220406,2022,4,2022-04-01,Apr 2022,False,30
2022-04-07,20220407,2022,4,2022-04-01,Apr 2022,False,30
2022-04-08,20220408,2022,4,2022-04-01,Apr 2022,False,30
2022-04-09,20220409,2022,4,2022-04-01,Apr 2022,False,30
2022-04-10,20220410,2022,4,2022-04-01,Apr 2022,False,30
2022-04-11,20220411,2022,4,2022-04-01,Apr 2022,False,30
2022-04-12,20220412,2022,4,2022-04-01,Apr 2022,False,30
2022-04-13,20220413,2022,4,2022-04-01,Apr 2022,False,30
2022-04-14,20220414,2022,4,2022-04-01,Apr 2022,False,30
2022-04-15,20220415,2022,4,2022-04-01,Apr 2022,False,30
2022-04-16,20220416,2022,4,2022-04-01,Apr 2022,False,30
2022-04-17,20220417,2022,4,2022-04-01,Apr 2022,False,30
2022-04-18,20220418,2022,4,2022-04-01,Apr 2022,False,30
2022-04-19,20220419,2022,4,2022-04-01,Apr 2022,False,30
2022-04-20,20220420,2022,4,2022-04-01,Apr 2022,False,30
2022-04-21,20220421,2022,4,2022-04-01,Apr 2022,False,30
2022-04-22,20220422,2022,4,2022-04-01,Apr 2022,False,30
2022-04-23,20220423,2022,4,2022-04-01,Apr 2022,False,30
2022-04-24,20220424,2022,4,2022-04-01,Apr 2022,False,30
2022-04-25,20220425,2022,4,2022-04-01,Apr 2022,False,30
2022-04-26,20220426,2022,4,2022-04-01,Apr 2022,False,30
2022-04-27,20220427,2022,4,2022-04-01,Apr 2022,False,30
2022-04-28,20220428,2022,4,2022-04-01,Apr 2022,False,30
2022-04-29,20220429,2022,4,2022-04-01,Apr 2022,False,30
