sku_key,sku,style,category,size,mapping_scope
AN201-RED-M,AN201-RED-M,AN201,Bottom,M,Amazon source-local
AN201-RED-XL,AN201-RED-XL,AN201,Bottom,XL,Amazon source-local
AN201-RED-XXL,AN201-RED-XXL,AN201,Bottom,XXL,Amazon source-local
AN202-ORANGE-M,AN202-ORANGE-M,AN202,Bottom,M,Amazon source-local
AN202-ORANGE-S,AN202-ORANGE-S,AN202,Bottom,S,Amazon source-local
AN202-ORANGE-XXL,AN202-ORANGE-XXL,AN202,Bottom,XXL,Amazon source-local
AN203-MAROON-XXL,AN203-MAROON-XXL,AN203,Bottom,XXL,Amazon source-local
AN204-PURPLE-L,AN204-PURPLE-L,AN204,Bottom,L,Amazon source-local
AN204-PURPLE-M,AN204-PURPLE-M,AN204,Bottom,M,Amazon source-local
AN204-PURPLE-S,AN204-PURPLE-S,AN204,Bottom,S,Amazon source-local
AN204-PURPLE-XL,AN204-PURPLE-XL,AN204,Bottom,XL,Amazon source-local
AN204-PURPLE-XXL,AN204-PURPLE-XXL,AN204,Bottom,XXL,Amazon source-local
AN205-YELLOW-S,AN205-YELLOW-S,AN205,Bottom,S,Amazon source-local
AN205-YELLOW-XL,AN205-YELLOW-XL,AN205,Bottom,XL,Amazon source-local
AN205-YELLOW-XXL,AN205-YELLOW-XXL,AN205,Bottom,XXL,Amazon source-local
AN206-GREEN-M,AN206-GREEN-M,AN206,Bottom,M,Amazon source-local
AN206-GREEN-S,AN206-GREEN-S,AN206,Bottom,S,Amazon source-local
AN206-GREEN-XL,AN206-GREEN-XL,AN206,Bottom,XL,Amazon source-local
AN207-PINK-L,AN207-PINK-L,AN207,Bottom,L,Amazon source-local
AN207-PINK-S,AN207-PINK-S,AN207,Bottom,S,Amazon source-local
AN207-PINK-XXL,AN207-PINK-XXL,AN207,Bottom,XXL,Amazon source-local
AN208-MUSTARD-L,AN208-MUSTARD-L,AN208,Bottom,L,Amazon source-local
AN208-MUSTARD-M,AN208-MUSTARD-M,AN208,Bottom,M,Amazon source-local
AN208-MUSTARD-S,AN208-MUSTARD-S,AN208,Bottom,S,Amazon source-local
AN208-MUSTARD-XL,AN208-MUSTARD-XL,AN208,Bottom,XL,Amazon source-local
AN208-MUSTARD-XXL,AN208-MUSTARD-XXL,AN208,Bottom,XXL,Amazon source-local
AN209-BIEGE-XL,AN209-BIEGE-XL,AN209,Bottom,XL,Amazon source-local
AN209-BIEGE-XXL,AN209-BIEGE-XXL,AN209,Bottom,XXL,Amazon source-local
AN210-NAVY-M,AN210-NAVY-M,AN210,Bottom,M,Amazon source-local
AN210-NAVY-XL,AN210-NAVY-XL,AN210,Bottom,XL,Amazon source-local
AN211-BLACK-L,AN211-BLACK-L,AN211,Bottom,L,Amazon source-local
AN211-BLACK-S,AN211-BLACK-S,AN211,Bottom,S,Amazon source-local
