date,date_key,months,style,sku,size,pieces,rate,reported_gross_amount
2021-06-05,20210605,Jun-21,MEN5004,MEN5004-KR-L,L,1.0,616.56,617.0
2021-06-05,20210605,Jun-21,MEN5004,MEN5004-KR-XL,XL,1.0,616.56,617.0
2021-06-05,20210605,Jun-21,MEN5004,MEN5004-KR-XXL,XXL,1.0,616.56,617.0
2021-06-05,20210605,Jun-21,MEN5009,MEN5009-KR-L,L,1.0,616.56,617.0
2021-06-05,20210605,Jun-21,MEN5011,MEN5011-KR-L,L,1.0,616.56,617.0
2021-06-05,20210605,Jun-21,MEN5025,MEN5025-KR-L,L,1.0,649.03,649.0
2021-06-05,20210605,Jun-21,MEN5015,MEN5015-KR-XL,XL,1.0,616.56,617.0
2021-06-05,20210605,Jun-21,MEN5022,MEN5022-KR-XXL,XXL,1.0,649.03,649.0
2021-06-05,20210605,Jun-21,MEN5014,MEN5014-KR-S,S,1.0,649.03,649.0
2021-06-05,20210605,Jun-21,MEN5013,MEN5013-KR-S,S,1.0,649.03,649.0
2021-06-05,20210605,Jun-21,MEN5013,MEN5013-KR-XXL,XXL,1.0,649.03,649.0
2021-06-05,20210605,Jun-21,MEN5003,MEN5003-KR-L,L,1.0,616.56,617.0
2021-06-05,20210605,Jun-21,MEN5003,MEN5003-KR-XXL,XXL,1.0,616.56,617.0
2021-06-05,20210605,Jun-21,MEN5028,MEN5028-KR-L,L,1.0,649.03,649.0
2021-06-05,20210605,Jun-21,MEN5028,MEN5028-KR-XXL,XXL,1.0,649.03,649.0
2021-06-05,20210605,Jun-21,MEN5006,MEN5006-KR-XL,XL,1.0,649.03,649.0
2021-06-05,20210605,Jun-21,BL097,BL097-M,M,1.0,324.35,324.0
2021-06-05,20210605,Jun-21,BL104,BL104-M,M,1.0,421.85,422.0
2021-06-05,20210605,Jun-21,BL104,BL104-XL,XL,1.0,421.85,422.0
2021-06-05,20210605,Jun-21,BL103,BL103-S,S,1.0,389.35,389.0
2021-06-08,20210608,Jun-21,J0001,J0001-DR-L,L,1.0,584.35,584.0
2021-06-08,20210608,Jun-21,JNE3660,JNE3660-TP-L,L,1.0,421.85,422.0
2021-06-08,20210608,Jun-21,JNE3647,JNE3647-TP-XL,XL,1.0,421.85,422.0
2021-06-08,20210608,Jun-21,J0116,J0116-TP-XL,XL,1.0,421.85,422.0
2021-06-08,20210608,Jun-21,J0165,J0165-TP-L,L,1.0,454.35,454.0
2021-06-08,20210608,Jun-21,JNE3656,JNE3656-TP-XL,XL,1.0,454.35,454.0
2021-06-08,20210608,Jun-21,JNE3673,JNE3673-TU-XL,XL,1.0,519.35,519.0
2021-06-08,20210608,Jun-21,JNE3649,JNE3649-TP-L,L,1.0,486.85,487.0
2021-06-08,20210608,Jun-21,JNE3653,JNE3653-TP-L,L,1.0,454.35,454.0
2021-06-08,20210608,Jun-21,JNE3651,JNE3651-TP-L,L,1.0,454.35,454.0
2021-06-08,20210608,Jun-21,JNE3712,JNE3712-TP-L,L,1.0,454.35,454.0
2021-06-08,20210608,Jun-21,J0036,J0036-TP-XL,XL,1.0,531.25,531.0
2021-06-08,20210608,Jun-21,JNE3658,JNE3658-TP-L,L,1.0,421.85,422.0
2021-06-08,20210608,Jun-21,JNE3652,JNE3652-TP-XL,XL,1.0,421.85,422.0
2021-06-08,20210608,Jun-21,JNE3643,JNE3643-TP-L,L,1.0,356.85,357.0
2021-06-08,20210608,Jun-21,JNE3643,JNE3643-TP-XL,XL,1.0,356.85,357.0
2021-06-08,20210608,Jun-21,JNE3672,JNE3672-TU-XL,XL,1.0,486.85,487.0
2021-06-08,20210608,Jun-21,JNE3674,JNE3674-TU-XL,XL,1.0,486.85,487.0
2021-06-08,20210608,Jun-21,JNE3670,JNE3670-TU-L,L,1.0,519.35,519.0
2021-06-08,20210608,Jun-21,J0122,J0122-TP-L,L,1.0,421.85,422.0
2021-06-08,20210608,Jun-21,J0119,J0119-TP-L,L,1.0,421.85,422.0
2021-06-08,20210608,Jun-21,JNE3421,JNE3421-KR-XL,XL,1.0,421.85,422.0
2021-06-08,20210608,Jun-21,JNE3467,JNE3467-KR-XL,XL,1.0,519.35,519.0
2021-06-08,20210608,Jun-21,JNE3030,JNE3030-KR-L,L,1.0,746.85,747.0
2021-06-08,20210608,Jun-21,JNE3657,JNE3657-TP-XL,XL,1.0,421.85,422.0
2021-06-08,20210608,Jun-21,JNE3667,JNE3667-TP-XL,XL,1.0,454.35,454.0
2021-06-08,20210608,Jun-21,J0092,J0092-SET-L,L,1.0,1071.85,1072.0
2021-06-08,20210608,Jun-21,JNE3659,JNE3659-TP-L,L,1.0,389.35,389.0
2021-06-08,20210608,Jun-21,J0214,J0214-TP-L,L,1.0,649.35,649.0
2021-06-08,20210608,Jun-21,J0201,J0201-TP-L,L,1.0,584.35,584.0
2021-06-08,20210608,Jun-21,J0197,J0197-TP-L,L,1.0,584.35,584.0
2021-06-08,20210608,Jun-21,J0213,J0213-TP-L,L,1.0,584.35,584.0
2021-06-08,20210608,Jun-21,JNE3640,JNE3640-TP-XL,XL,1.0,454.35,454.0
2021-06-08,20210608,Jun-21,J0233,J0233-SKD-L,L,1.0,1429.35,1429.0
2021-06-08,20210608,Jun-21,J0237,J0237-SKD-L,L,1.0,1494.35,1494.0
2021-06-08,20210608,Jun-21,J0234,J0234-SKD-L,L,1.0,1201.85,1202.0
2021-06-08,20210608,Jun-21,JNE3535,JNE3535-KR-XL,XL,1.0,389.35,389.0
2021-06-08,20210608,Jun-21,JNE3497,JNE3497-KR-L,L,1.0,454.35,454.0
2021-06-08,20210608,Jun-21,JNE1525,KURTI,Free,1.0,421.85,422.0
2021-06-08,20210608,Jun-21,JNE2305,JNE2305-KR-533-L,L,1.0,421.85,422.0
2021-06-08,20210608,Jun-21,JNE3365,JNE3365-KR-1052-L,L,1.0,421.85,422.0
2021-06-08,20210608,Jun-21,JNE2270,JNE2270-KR-487-L,L,1.0,551.85,552.0
2021-06-08,20210608,Jun-21,SET094,SET094-KR-NP-XL,XL,1.0,941.85,942.0
2021-06-08,20210608,Jun-21,JNE2049,JNE2049-KR-351-XL,XL,1.0,486.85,487.0
2021-06-08,20210608,Jun-21,CH202,CH202-ORANGE-XXL,XXL,1.0,291.85,292.0
2021-06-08,20210608,Jun-21,BTM029,BTM029-NP-XXL,XXL,1.0,356.85,357.0
2021-06-08,20210608,Jun-21,BTM008,BTM008-XXL,XXL,1.0,356.85,357.0
2021-06-08,20210608,Jun-21,BTM035,BTM035-NP-XXL,XXL,1.0,356.85,357.0
2021-06-08,20210608,Jun-21,CH209,CH209-BIEGE-XXL,XXL,1.0,291.85,292.0
2021-06-08,20210608,Jun-21,CH208,CH208-MUSTARD-XXL,XXL,1.0,291.85,292.0
2021-06-08,20210608,Jun-21,CH207,CH207-PINK-XXL,XXL,1.0,291.85,292.0
2021-06-08,20210608,Jun-21,CH205,CH205-YELLOW-XXL,XXL,1.0,291.85,292.0
2021-06-08,20210608,Jun-21,CH213,CH213-BROWN-XXL,XXL,1.0,291.85,292.0
2021-06-08,20210608,Jun-21,J0024,J0024-KR-L,L,1.0,519.35,519.0
2021-06-11,20210611,Jun-21,J0109,J0109-SKD-L,L,1.0,1071.85,1072.0
2021-06-11,20210611,Jun-21,J0109,J0109-SKD-XXL,XXL,1.0,1071.85,1072.0
2021-06-11,20210611,Jun-21,J0109,J0109-SKD-XL,XL,1.0,1071.85,1072.0
2021-06-11,20210611,Jun-21,J0109,J0109-SKD-XS,XS,1.0,1071.85,1072.0
2021-06-11,20210611,Jun-21,J0109,J0109-SKD-S,S,1.0,1071.85,1072.0
2021-06-11,20210611,Jun-21,J0109,J0109-SKD-M,M,1.0,1071.85,1072.0
2021-06-11,20210611,Jun-21,J0109,J0109-SKD-XXXL,XXXL,1.0,1071.85,1072.0
2021-06-11,20210611,Jun-21,J0110,J0110-SKD-L,L,1.0,1169.35,1169.0
2021-06-11,20210611,Jun-21,J0110,J0110-SKD-XL,XL,1.0,1169.35,1169.0
2021-06-11,20210611,Jun-21,J0110,J0110-SKD-M,M,1.0,1169.35,1169.0
2021-06-11,20210611,Jun-21,J0110,J0110-SKD-XS,XS,1.0,1169.35,1169.0
2021-06-11,20210611,Jun-21,J0110,J0110-SKD-S,S,1.0,1169.35,1169.0
